State,County,FIPS,Total,Commercial,Industrial,Residential,Electricity Prod,Onroad,Cement,Aircraft,Airborne,Nonroad
CO,Custer,8028,9.0098674457,1.0003370035,1.000025971,1.0019639712,1,1.0058472621,1,1,1,1.0016932379
CO,Delta,8030,9.0663781413,1.0019842047,1.0010317564,1.01317188,1.0000606304,1.0393912982,1,1.0013741746,1.0034542435,1.0059099535
CO,Denver,8032,11.3935144306,1.2236660401,1.138560852,1.2562860813,1.5718394396,1.7175396032,1,1.1141210881,1.2868644326,1.0846368938
CO,Dolores,8034,9.0261208751,1.0002290224,1.0151719049,1.0009871739,1.0012431614,1.0063573564,1,1,1,1.0021322561
CO,Douglas,8036,9.409571895,1.0148965372,1.0047979024,1.0757695212,1.0004719713,1.2675613295,1,1,1,1.0460746334
CO,Eagle,8038,9.2010681816,1.0107752366,1.0098368122,1.0153161874,1.0037662855,1.1273443132,1,1.0064183938,1.0161338198,1.0114771331
CO,Elbert,8040,9.0608438158,1.0096909173,1.0004508036,1.009781672,1,1.0375198123,1,1,1,1.0034006106
CO,El Paso,8042,11.349105238,1.1428031274,1.0700922836,1.2277703739,2.1144015946,1.579035013,1,1.0412625977,1.1037211626,1.0700190851
CO,Fremont,8044,9.2456120602,1.0152386368,1.0192380404,1.0201457191,1.0001382901,1.0503216067,1.1311814303,1.0016833792,1.0042314859,1.0034334716
CO,Garfield,8046,9.3426668677,1.0068701705,1.191746307,1.0191530347,1.0039780766,1.1078784028,1,1.0013329893,1.0033507162,1.0083571707
CO,Gilpin,8048,9.0190444686,1.0018892603,1.0000186781,1.0024243392,1,1.0122721831,1,1,1,1.002440008
CO,Grand,8050,9.0634373795,1.0121979834,1.0001802928,1.005084166,1,1.036957702,1,1.000690009,1.0017344628,1.0065927635
CO,Gunnison,8052,9.0612100119,1.0026556825,1.0003605695,1.0057519111,1,1.0315050588,1,1.0040322775,1.0101358739,1.0067686386
