,Aggregate household income In 1999 Dollars,Airborne,Aircraft,Area Total,Cement,Commercial,Housing units,Industrial,Nonroad,Occupied Housing Units,"Occupied Housing Units: House Heating Fuel: Coal, coke or Wood",Occupied Housing Units: House Heating Fuel: Electricity,"Occupied Housing Units: House Heating Fuel: Fuel oil, kerosene, etc.","Occupied Housing Units: House Heating Fuel: Gas (Utility, Bottled, tank, or LP gas)",Occupied Housing Units: House Heating Fuel: No fuel used,Occupied Housing Units: House Heating Fuel: Other fuel,Occupied Housing Units: House Heating Fuel: Solar energy,Onroad,Residential,Rural,Total Emissions,Total Population,Urban,MSA,CBSA Code
16860,9355170500.0,0.05198283299999999,0.0206799331,2137.9185,0.10820418529999999,0.1336273893,205343.0,0.5989801459999999,0.06515542490000001,189607.0,2377.0,109640.0,4101.0,72958.0,353.0,122.0,56.0,0.9227028695999999,0.0969330123,117756.0,1.9990002503999997,476531.0,358775.0,"Chattanooga, TN-GA (Metropolitan Statistical Area)",16860
16980,221248027700.0,2.9117459095000005,1.1583576597,9579.221,0.0,2.7105448053000005,3462197.0,11.5122125428,1.1662837603,3280055.0,2326.0,329494.0,15715.0,2890056.0,20159.0,21699.0,606.0,9.818014013699997,5.336491538199999,259412.0,47.924484021299996,9098316.0,8838904.0,"Chicago-Naperville-Elgin, IL-IN-WI (Metropolitan Statistical Area)",16980
17020,3511127100.0,0.0291592939,0.011600220900000001,1677.106,0.0,0.0244449597,85523.0,0.011210211599999999,0.0282523821,79566.0,9137.0,17020.0,263.0,52588.0,137.0,395.0,26.0,0.2339384469,0.048242886,36690.0,0.3876429475,203171.0,166481.0,"Chico, CA (Metropolitan Statistical Area)",17020
17140,45158162300.0,0.4349806508,0.17304503010000002,4239.780220000001,0.0,0.4392065536,827548.0,0.8705653796511166,0.2748886125,774151.0,5342.0,220441.0,49865.0,489740.0,3289.0,5279.0,195.0,2.7087642910999996,0.8912109869,315361.0,14.332635575600001,1994830.0,1679469.0,"Cincinnati, OH-KY-IN (Metropolitan Statistical Area)",17140
17300,3453291900.0,0.0186955319,0.0074375003,1748.9816999999998,0.0,0.0324408363,86047.0,0.10163789540000001,0.035399579099999995,78402.0,1372.0,45827.0,658.0,30244.0,219.0,53.0,29.0,0.381321837,0.0408136847,64330.0,0.6177475352999999,219630.0,155300.0,"Clarksville, TN-KY (Metropolitan Statistical Area)",17300
17420,1830297800.0,0.0052534573,0.0020899419,773.8525,0.0,0.0123741523,44189.0,0.05324548850000001,0.0134348965,40729.0,800.0,27850.0,1515.0,10412.0,95.0,49.0,8.0,0.18804229179999998,0.0163712191,45823.0,0.29081144729999997,104015.0,58192.0,"Cleveland, TN (Metropolitan Statistical Area)",17420
17460,47922341500.0,0.2427620909,0.0965761903,3978.8469,0.0,0.5040648202,911356.0,8.9799468041,0.2890521185,853165.0,3864.0,94381.0,17153.0,726412.0,3472.0,7810.0,73.0,2.456689627,1.2083866277000002,184337.0,16.9621214083,2148143.0,1963806.0,"Cleveland-Elyria, OH (Metropolitan Statistical Area)",17460
17660,1956447700.0,0.025477751400000002,0.0101356209,1315.6889999999999,0.0,0.031967241699999996,46607.0,0.11910447060000001,0.0210895024,41308.0,3734.0,11758.0,1058.0,24435.0,52.0,263.0,8.0,0.0961478988,0.0238587625,29098.0,0.4483942675,108685.0,79587.0,"Coeur d'Alene, ID (Metropolitan Statistical Area)",17660
17780,2895760700.0,0.0355799467,0.014154498699999999,2133.7470000000003,0.0,0.021280202800000002,75094.0,0.026386764799999997,0.0267964974,67744.0,332.0,35217.0,71.0,31752.0,237.0,125.0,10.0,0.3468731046,0.021213694100000003,44965.0,1.2704141008,184885.0,139920.0,"College Station-Bryan, TX (Metropolitan Statistical Area)",17780
17820,11631328300.0,0.1037211626,0.0412625977,2688.5154,0.0,0.1450144965,212790.0,0.0702882465,0.072779947,200402.0,1546.0,31556.0,147.0,165742.0,380.0,796.0,235.0,0.6088893816,0.23780474250000003,60983.0,2.394162169,537484.0,476501.0,"Colorado Springs, CO (Metropolitan Statistical Area)",17820
17860,2632766600.0,0.0119430882,0.0047512269,691.3112,0.0,0.0359107132,56678.0,0.0674612394,0.025115316000000002,53094.0,907.0,17000.0,60.0,34919.0,74.0,128.0,6.0,0.2108557113,0.048125439000000006,32974.0,0.5229665007,135454.0,102480.0,"Columbia, MO (Metropolitan Statistical Area)",17860
17900,12848143200.0,0.09548744579999999,0.037987043,3833.902,0.0,0.0934462304,269244.0,0.4615424048,0.10819638020000001,245347.0,2418.0,143884.0,5573.0,92569.0,617.0,235.0,51.0,1.1599448215000001,0.10043797299999999,195644.0,3.4319509237999997,647158.0,451514.0,"Columbia, SC (Metropolitan Statistical Area)",17900
17980,4745769200.0,0.0159022728,0.0063262792,1959.9708,0.0,0.035614913899999996,115747.0,0.21206592120533874,0.0336307618,103982.0,460.0,38981.0,153.0,63940.0,308.0,140.0,0.0,0.3878910089,0.0747153805,55745.0,0.7661465385999999,281768.0,226023.0,"Columbus, GA-AL (Metropolitan Statistical Area)",17980
18140,37390744000.0,0.26728207769999995,0.1063307877,4849.7708,0.0,0.43369366540000004,706212.0,0.5414066493999999,0.2799809968,659945.0,5201.0,128187.0,19610.0,503959.0,718.0,2172.0,98.0,2.2299115183000002,0.9003428962,299970.0,4.9252788894999995,1675013.0,1375043.0,"Columbus, OH (Metropolitan Statistical Area)",18140
18580,6685980300.0,0.10189674400000001,0.0405368024,2401.4317,0.0,0.0644198061,160753.0,2.0509077076,0.08293909540000001,141590.0,148.0,74693.0,26.0,65844.0,708.0,143.0,28.0,0.6552560493,0.0228456152,39293.0,4.0173340376999995,403280.0,363987.0,"Corpus Christi, TX (Metropolitan Statistical Area)",18580
18880,4207434700.0,0.10913471639999998,0.0434162272,2320.0280000000002,0.0,0.0126193788,107676.0,0.0582171517,0.055887695,82817.0,524.0,53420.0,103.0,28491.0,240.0,34.0,5.0,0.4600597800999999,0.0077564801,53152.0,0.7470914292999999,211099.0,157947.0,"Crestview-Fort Walton Beach-Destin, FL (Metropolitan Statistical Area)",18880
19060,1567548000.0,0.0041424991,0.0016479783,758.9485,0.0,0.045051775,45078.0,0.0451204575,0.0092238183,40106.0,3718.0,8562.0,7215.0,20371.0,46.0,194.0,0.0,0.1531525434,0.0521995066,36133.0,0.310538578,102008.0,65875.0,"Cumberland, MD-WV (Metropolitan Statistical Area)",19060
19100,121562779900.0,0.9681553914000001,0.38515387419999997,9634.974,0.8279380915000001,1.1835406563000002,2017405.0,1.9417564221999997,0.8398625483,1897576.0,2803.0,1054106.0,874.0,832596.0,5366.0,1600.0,231.0,7.0354532229,0.876347553,467390.0,16.8954153944,5204126.0,4736736.0,"Dallas-Fort Worth-Arlington, TX (Metropolitan Statistical Area)",19100
19140,2119674200.0,0.007548603,0.0030030033000000003,637.5282,0.0,0.0136379616,45042.0,0.5331332057,0.0177746794,42671.0,688.0,27384.0,847.0,13634.0,95.0,23.0,0.0,0.2663340188,0.0160449766,52919.0,0.9502257235,120031.0,67112.0,"Dalton, GA (Metropolitan Statistical Area)",19140
19300,2885875300.0,0.044849405599999996,0.0178420967,2026.9289999999999,0.0,0.015348179299999999,74285.0,0.0118836768,0.0494505117,55336.0,658.0,40881.0,98.0,13496.0,141.0,40.0,22.0,0.2787089307,0.0319484614,76078.0,0.45003126229999996,140415.0,64337.0,"Daphne-Fairhope-Foley, AL (Metropolitan Statistical Area)",19300
19340,7556170800.0,0.055830644799999996,0.022210679,2313.8116,0.1402846459,0.0988816166,158517.0,0.26696076160000004,0.0737506134,149726.0,577.0,12923.0,860.0,134268.0,316.0,780.0,2.0,0.536910467,0.2286870534,76482.0,1.719231348,376019.0,299537.0,"Davenport-Moline-Rock Island, IA-IL (Metropolitan Statistical Area)",19340
19380,17427846000.0,0.1054603381,0.0419544819,1289.7774,0.1481518968,0.1957511769,347221.0,0.4243033636,0.1007310672,322978.0,1302.0,89661.0,11960.0,218026.0,711.0,1292.0,26.0,0.9900081826,0.3889981692,81861.0,2.6526930136000004,805816.0,723955.0,"Dayton, OH (Metropolitan Statistical Area)",19380
19460,2691088300.0,0.007700646,0.0030634898000000002,1317.1253000000002,0.0,0.021005710700000003,62397.0,0.3093100042,0.022650064600000002,57140.0,934.0,30822.0,625.0,24570.0,136.0,44.0,9.0,0.2358906031,0.0338156227,80713.0,0.7198259256,145867.0,65154.0,"Decatur, AL (Metropolitan Statistical Area)",19460
19500,2270470400.0,0.027223462599999998,0.0108301032,585.378,0.0,0.007786255400000001,50241.0,0.25394452160000003,0.0207857448,46561.0,134.0,7399.0,108.0,38677.0,81.0,158.0,4.0,0.1452653924,0.0724752974,18252.0,0.5465097274,114706.0,96454.0,"Decatur, IL (Metropolitan Statistical Area)",19500
19660,9651751400.0,0.27057410940000004,0.10764043079999999,2003.1977,0.0,0.0277809926,236390.0,0.1295954517,0.1067888662,206017.0,696.0,179501.0,6313.0,17569.0,1570.0,289.0,79.0,0.7892799653,0.017693467100000002,58341.0,2.2129860156,493175.0,434834.0,"Deltona-Daytona Beach-Ormond Beach, FL (Metropolitan Statistical Area)",19660
19740,55995783700.0,0.5003878672,0.19906548450000003,8387.1829,0.0,0.5156687413,882552.0,0.729228018723354,0.33891420419999996,844017.0,4125.0,148357.0,850.0,680536.0,3009.0,6409.0,731.0,2.8091322927999998,0.9491349346999999,132667.0,7.823798524100001,2157756.0,2025089.0,"Denver-Aurora-Lakewood, CO (Metropolitan Statistical Area)",19740
19780,10955172300.0,0.06529952080000001,0.0259776109,2912.1893,0.0,0.19530657360000003,199393.0,0.13521603769999999,0.1116311544,189371.0,706.0,29877.0,879.0,155313.0,938.0,1641.0,17.0,0.7545577101000001,0.23237979720000002,78674.0,1.5223988182,481394.0,402720.0,"Des Moines-West Des Moines, IA (Metropolitan Statistical Area)",19780
19820,108376102700.0,0.5995835957,0.23852776320000002,4235.1286,0.0,1.0666255007,1797185.0,2.4918705676000004,0.4857885444,1696943.0,3303.0,101621.0,17157.0,1562195.0,5001.0,7353.0,313.0,6.1542623132,2.8238462699999998,291170.0,20.5481592831,4452557.0,4161387.0,"Detroit-Warren-Dearborn, MI (Metropolitan Statistical Area)",19820
20020,2277405800.0,0.0137441428,0.0054677291,1728.8838,0.0,0.0180325967,59723.0,0.0253213301,0.0220163518,52836.0,402.0,40375.0,474.0,11360.0,165.0,44.0,16.0,0.236116899,0.029888974199999998,69733.0,0.3505880236,130861.0,61128.0,"Dothan, AL (Metropolitan Statistical Area)",20020
20100,2329201400.0,0.0845606119,0.033640102000000005,800.1166,0.0,0.0327082506,50481.0,0.0544034492,0.0341279962,47224.0,909.0,10358.0,14230.0,21572.0,38.0,111.0,6.0,0.2143940907,0.0407357743,44969.0,0.5395687001,126697.0,81728.0,"Dover, DE (Metropolitan Statistical Area)",20100
20260,5041678600.0,0.0632210673,0.0251507578,9215.0621,0.0,0.18545413549999998,129877.0,1.2761701139,0.0525275318,112491.0,5054.0,12322.0,27835.0,61880.0,1251.0,4105.0,44.0,0.43595026140000004,0.1680287954,109854.0,2.5089459744,275486.0,165632.0,"Duluth, MN-WI (Metropolitan Statistical Area)",20260
20500,9717257900.0,0.016175282,0.0064348887,1812.1409,0.0,0.0809163512,181603.0,0.1178160709,0.0815992318,168704.0,3086.0,79218.0,9075.0,76428.0,398.0,390.0,109.0,0.7543426251,0.1100771446,119910.0,6.6347819315,426493.0,306583.0,"Durham-Chapel Hill, NC (Metropolitan Statistical Area)",20500
20700,2740228800.0,0.0092366608,0.0036745490999999996,617.4209999999999,0.0,0.09802258550000001,67581.0,0.024543673999999998,0.021134689300000002,49454.0,3515.0,18641.0,19378.0,7571.0,46.0,299.0,4.0,0.22763189179999999,0.060844305700000004,66968.0,0.4450883562,138687.0,71719.0,"East Stroudsburg, PA (Metropolitan Statistical Area)",20700
20740,2754109500.0,0.019329731699999998,0.0076897996,1686.6019,0.0,0.0754759421,60295.0,0.05656065360000001,0.030796238400000002,57178.0,2493.0,9924.0,9372.0,34907.0,142.0,333.0,7.0,0.2760377651,0.0764479194,50543.0,0.5456882934,148337.0,97794.0,"Eau Claire, WI (Metropolitan Statistical Area)",20740
20940,1715101100.0,0.056304248099999996,0.0223990898,4481.73,0.0,0.017540283400000002,43891.0,0.0800131591,0.0549981959,39384.0,151.0,18672.0,23.0,19203.0,1226.0,78.0,31.0,0.22900452920000003,0.010060757,20712.0,0.5729577221,142361.0,121649.0,"El Centro, CA (Metropolitan Statistical Area)",20940
21060,2229823800.0,0.0038169032,0.0015184484,1217.8015,0.0,0.0198838515,53826.0,0.0877559021,0.021012674600000003,49242.0,1766.0,25110.0,1596.0,20558.0,126.0,78.0,8.0,0.16916621980000002,0.030583715799999998,66334.0,0.33465600770000004,133896.0,67562.0,"Elizabethtown-Fort Knox, KY (Metropolitan Statistical Area)",21060
21140,3635698800.0,0.0208363734,0.0082891752,467.8478,0.0,0.055855651500000006,69791.0,0.3336577784,0.0477405791,66154.0,1090.0,6316.0,965.0,57443.0,105.0,199.0,36.0,0.2829915716,0.0864866017,39445.0,0.8432021352,182791.0,143346.0,"Elkhart-Goshen, IN (Metropolitan Statistical Area)",21140
21340,8961499600.0,0.0545356996,0.0216955223,5586.6050000000005,0.0,0.08134684140000001,225918.0,0.3999725281,0.0578888579,211114.0,184.0,27183.0,90.0,182708.0,737.0,153.0,59.0,0.643600343,0.1435637505,24092.0,1.6710841542,682966.0,658874.0,"El Paso, TX (Metropolitan Statistical Area)",21340
21500,4898966200.0,0.0199095749,0.0079204732,1558.4029999999998,0.0,0.0760834054,114322.0,0.18205882129999998,0.0428625951,106507.0,1752.0,6963.0,3549.0,93415.0,73.0,745.0,10.0,0.3426028374,0.1437798453,54670.0,0.8217083533,280843.0,226173.0,"Erie, PA (Metropolitan Statistical Area)",21500
21660,6277665200.0,0.0478499362,0.019035772,4721.792,0.0,0.051617861900000006,138946.0,0.1175879666,0.0432358,130453.0,9540.0,96620.0,2714.0,20174.0,300.0,1050.0,55.0,0.4021540324,0.06977027059999999,62445.0,0.7512516397,322959.0,260514.0,"Eugene, OR (Metropolitan Statistical Area)",21660
21780,5967323300.0,0.0427992102,0.0170264839,1513.2795,0.0,0.1086215309,127388.0,1.1818952532,0.0602825861,118361.0,762.0,33942.0,689.0,82676.0,106.0,186.0,0.0,0.5046016113,0.11996007280000001,69652.0,5.7388239092,296195.0,226543.0,"Evansville, IN-KY (Metropolitan Statistical Area)",21780
22020,3405123300.0,0.0400233325,0.0159221721,2820.6450000000004,0.0,0.0866115961,73536.0,0.17427427839999998,0.0732956917,69985.0,364.0,30887.0,6150.0,31085.0,747.0,745.0,7.0,0.23365257350000002,0.0654089576,31890.0,0.689188602,174367.0,142477.0,"Fargo, ND-MN (Metropolitan Statistical Area)",22020
22140,1608809600.0,0.0455708842,0.0181291194,5538.361999999999,0.0,0.023164765499999997,43221.0,0.7417597315000001,0.0159786694,37711.0,3527.0,1766.0,94.0,32036.0,5.0,276.0,7.0,0.16280815210000002,0.0397345255,46380.0,8.453821549099999,113801.0,67421.0,"Farmington, NM (Metropolitan Statistical Area)",22140
22180,5434887600.0,0.027509538899999998,0.0109439103,1050.7959,0.0,0.0449476342,130943.0,0.0872799904,0.030669457500000004,118731.0,715.0,71897.0,7241.0,38175.0,459.0,221.0,23.0,0.4461379321,0.058693470299999995,57693.0,0.7064439119,336609.0,278916.0,"Fayetteville, NC (Metropolitan Statistical Area)",22180
22220,6123222100.0,0.0796632167,0.0316918126,3213.0179,0.0,0.101504461,144435.0,0.31062472,0.0669155955,131939.0,7867.0,35654.0,78.0,87884.0,189.0,220.0,47.0,0.4566335949,0.1318801248,146974.0,2.1421844682,347045.0,200071.0,"Fayetteville-Springdale-Rogers, AR-MO (Metropolitan Statistical Area)",22220
22380,1967740000.0,0.0882634608,0.0351131795,18661.21,0.0,0.043943357599999996,53443.0,0.023178512000000002,0.0224515989,40448.0,6415.0,5043.0,211.0,28541.0,44.0,144.0,50.0,0.3316778394,0.0216634961,41752.0,5.6321710464,116320.0,74568.0,"Flagstaff, AZ (Metropolitan Statistical Area)",22380
22420,9022879000.0,0.0412055996,0.0163925081,649.3428,0.0,0.0827311874,183630.0,0.2545027587,0.0427158583,169825.0,630.0,16175.0,2618.0,149306.0,341.0,741.0,14.0,0.6768287134000001,0.2666843665,70928.0,1.3810609921,436141.0,365213.0,"Flint, MI (Metropolitan Statistical Area)",22420
22500,3291022800.0,0.018300428100000002,0.007280321099999999,1370.5176000000001,0.0,0.026601448399999998,80778.0,2.8572232089,0.0249434776,72940.0,694.0,50357.0,4873.0,16628.0,186.0,185.0,17.0,0.3427263129,0.035507513399999996,90140.0,3.6952899153,193155.0,103015.0,"Florence, SC (Metropolitan Statistical Area)",22500
